AccessionID,Lineage,Species,Genotype,Isolate,GenBank_Title,Length,Nuc_Completeness,Geo,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release,Molecule_type
NC_002640.1,Dengue virus type 4,Orthoflavivirus denguei,,,"Dengue virus 4, complete genome",10649,complete,,,,,"Durbin,A.P., Karron,R.A., Sun,W., Vaughn,D.W., Reynolds,M.J., Perreault,J.R., Men,R.H., Lai,C.J., Elkins,W.R., Chanock,R.M., Murphy,B.R., Whitehead,S.S.",,3/1/2001,ssRNA(+)
NC_001477.1,Dengue virus type 1,Orthoflavivirus denguei,,,"Dengue virus 1, complete genome",10735,complete,,,,,"Puri,B., Nelson,W.M., Henchal,E.A., Hoke,C.H., Eckels,K.H., Dubois,D.R., Porter,K.R., Hayes,C.G., McKee,K.T. Jr., Bancroft,W.H., Redfield,R.R., Summers,P.L., Russell,P.K.",,28/2/1997,ssRNA(+)
NC_001474.2,Dengue virus type 2,Orthoflavivirus denguei,,,"Dengue virus 2, complete genome",10723,complete,Thailand,Thailand,,,"Kinney,R.M., Butrapet,S., Chang,G.J., Tsuchiya,K.R., Roehrig,J.T., Bhamarapravati,N., Gubler,D.J.",1964,2/8/1993,ssRNA(+)
NC_001475.2,Dengue virus type 3,Orthoflavivirus denguei,,D3/H/IMTSSA-SRI/2000/1266,"Dengue virus 3, complete genome",10707,complete,Sri Lanka,Sri Lanka,,,"Peyrefitte,C.N., Couissinier-Paris,P., Mercier-Perennec,V., Bessaud,M., Martial,J., Kenane,N., Durand,J.P., Tolou,H.J., Peyrefitte,C., Mercier,V., Tock,F., Durand,J.-P., Tolou,H.",,2/8/1993,ssRNA(+)
PX454578.1,Dengue virus type 3,Orthoflavivirus denguei,3,MA645_DENV-3_Mali_2023-11-15,"Dengue virus type 3 isolate MA645_DENV-3_Mali_2023-11-15 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10648,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",15/11/2023,1/2/2026,ssRNA(+)
PX454579.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA008,"Dengue virus type 1 isolate MA008 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10645,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",7/11/2019,1/2/2026,ssRNA(+)
PX454580.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA136,"Dengue virus type 1 isolate MA136 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10560,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",7/11/2019,1/2/2026,ssRNA(+)
PX454581.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA137,"Dengue virus type 1 isolate MA137 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10360,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",7/11/2019,1/2/2026,ssRNA(+)
PX454582.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA555,"Dengue virus type 1 isolate MA555 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10645,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",7/11/2023,1/2/2026,ssRNA(+)
PX454583.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA562,"Dengue virus type 1 isolate MA562 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10561,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",8/11/2023,1/2/2026,ssRNA(+)
PX454584.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA592,"Dengue virus type 1 isolate MA592 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10643,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",10/11/2023,1/2/2026,ssRNA(+)
PX454585.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA594,"Dengue virus type 1 isolate MA594 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10643,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",13/11/2023,1/2/2026,ssRNA(+)
PX454586.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA602,"Dengue virus type 1 isolate MA602 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10562,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",13/11/2023,1/2/2026,ssRNA(+)
PX454587.1,Dengue virus type 1,Orthoflavivirus denguei,1,MA648,"Dengue virus type 1 isolate MA648 polyprotein (POLY) gene, complete cds; and sfRNA1 lncRNA gene, partial sequence",10543,partial,Mali,Mali,Homo sapiens,,"Doumbia,L., Thirion,L., Dubot-Peres,A., Koita,O., Piorkowski,G., Amaral,R., Klitting,R., de Lamballerie,X.",15/11/2023,1/2/2026,ssRNA(+)
