AccessionID,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release,Molecule_type
NC_026433.1,Influenza A virus (A/California/07/2009(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1701,complete,USA: California state,USA,Homo sapiens,,"Garten,R.J., Davis,C.T., Russell,C.A., Shu,B., Lindstrom,S., Balish,A., Sessions,W.M., Xu,X., Skepner,E., Deyde,V., Okomo-Adhiambo,M., Gubareva,L., Barnes,J., Smith,C.B., Emery,S.L., Hillman,M.J., Rivailler,P., Smagala,J., de Graaf,M., Burke,D.F., Fouchier,R.A., Pappas,C., Alpuche-Aranda,C.M., Lopez-Gatell,H., Olivera,H., Lopez,I., Myers,C.A., Faix,D., Blair,P.J., Yu,C., Keene,K.M., Dotson,P.D. Jr., Boxrud,D., Sambol,A.R., Abid,S.H., St George,K., Bannerman,T., Moore,A.L., Stringer,D.J., Blevins,P., Demmler-Harrison,G.J., Ginsberg,M., Kriner,P., Waterman,S., Smole,S., Guevara,H.F., Belongia,E.A., Clark,P.A., Beatrice,S.T., Donis,R., Katz,J., Finelli,L., Bridges,C.B., Shaw,M., Jernigan,D.B., Uyeki,T.M., Smith,D.J., Klimov,A.I., Cox,N.J., Dawood,F.S., Jain,S., Shaw,M.W., Gubareva,L.V., Garten,R., Smith,C., Emery,S., Klimov,A., Cox,N.",9/4/2009,23/2/2015,ssRNA(-)
LC660659.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan: Iwate,Japan,Homo sapiens,,"Odagiri,T., Naoto,Y., Yutaka,S., Yasushi,M.",2/12/2009,26/11/2024,ssRNA(-)
LC638062.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",6/8/2009,6/7/2021,ssRNA(-)
LC638063.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",10/9/2009,6/7/2021,ssRNA(-)
LC638065.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",8/10/2009,6/7/2021,ssRNA(-)
LC638066.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",14/10/2009,6/7/2021,ssRNA(-)
LC638068.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",22/10/2009,6/7/2021,ssRNA(-)
LC638069.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",26/10/2009,6/7/2021,ssRNA(-)
LC638070.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",26/10/2009,6/7/2021,ssRNA(-)
LC638071.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",26/10/2009,6/7/2021,ssRNA(-)
LC638072.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",26/10/2009,6/7/2021,ssRNA(-)
LC638073.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",27/10/2009,6/7/2021,ssRNA(-)
LC638074.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",27/10/2009,6/7/2021,ssRNA(-)
LC638075.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",27/10/2009,6/7/2021,ssRNA(-)
LC638076.1,Influenza A virus (H1N1),Alphainfluenzavirus influenzae,H1N1,,1701,partial,Japan,Japan,Homo sapiens,,"Tsuneki-Tokunaga,A., Kageyama,S., Kanai,K., Hinay,A.A., Kondo,T.",27/10/2009,6/7/2021,ssRNA(-)
