AccessionID,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release,Molecule_type
EU516286.1,Influenza A virus (A/Pennsylvania/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705103,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",2/1/2008,26/2/2008,ssRNA(-)
CY030873.1,Influenza A virus (A/Thailand/39/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1396,partial,Thailand,Thailand,Homo sapiens,,"Hurt,A.C., Holien,J.K., Parker,M., Kelso,A., Barr,I.G., Deng,Y.-M., Komadina,N.",2/1/2008,17/3/2008,ssRNA(-)
EU566969.2,Influenza A virus (A/New Jersey/04/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705382,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",17/1/2008,20/3/2008,ssRNA(-)
EU566972.1,Influenza A virus (A/Massachusetts/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705265,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",7/1/2008,20/3/2008,ssRNA(-)
EU566977.1,Influenza A virus (A/Pennsylvania/02/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706220,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",15/1/2008,20/3/2008,ssRNA(-)
EU566978.1,Influenza A virus (A/New Mexico/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705184,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",3/1/2008,20/3/2008,ssRNA(-)
EU566983.1,Influenza A virus (A/New Jersey/05/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705633,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",22/1/2008,20/3/2008,ssRNA(-)
EU566999.1,Influenza A virus (A/Wisconsin/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706779,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",28/1/2008,20/3/2008,ssRNA(-)
EU567001.1,Influenza A virus (A/Pennsylvania/05/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705110,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",7/1/2008,20/3/2008,ssRNA(-)
EU567002.1,Influenza A virus (A/New Jersey/03/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008704971,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",4/1/2008,20/3/2008,ssRNA(-)
EU567011.1,Influenza A virus (A/Indiana/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008708416,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",29/1/2008,20/3/2008,ssRNA(-)
EU567014.1,Influenza A virus (A/New Jersey/06/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706586,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",2/2/2008,20/3/2008,ssRNA(-)
EU567017.1,Influenza A virus (A/New Jersey/02/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705176,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Xu,X., Klimov,A.",11/1/2008,20/3/2008,ssRNA(-)
EU716533.1,Influenza A virus (A/Alaska/02/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706324,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",16/1/2008,14/5/2008,ssRNA(-)
EU716536.1,Influenza A virus (A/Idaho/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008739323,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",22/1/2008,14/5/2008,ssRNA(-)
EU716539.1,Influenza A virus (A/Maryland/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706593,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",4/1/2008,14/5/2008,ssRNA(-)
EU716543.1,Influenza A virus (A/Alaska/03/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706326,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",18/1/2008,14/5/2008,ssRNA(-)
EU716568.1,Influenza A virus (A/Colorado/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705393,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",7/1/2008,14/5/2008,ssRNA(-)
EU716580.1,Influenza A virus (A/Florida/02/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008707017,1440,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",4/1/2008,14/5/2008,ssRNA(-)
EU716584.1,Influenza A virus (A/New Jersey/09/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706367,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",25/1/2008,14/5/2008,ssRNA(-)
EU716587.1,Influenza A virus (A/Washington/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008707693,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",10/1/2008,14/5/2008,ssRNA(-)
EU716597.1,Influenza A virus (A/Idaho/02/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008739324,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",22/1/2008,14/5/2008,ssRNA(-)
EU716607.1,Influenza A virus (A/New Jersey/08/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008705634,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",21/1/2008,14/5/2008,ssRNA(-)
EU716608.1,Influenza A virus (A/New York/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706371,1427,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",28/1/2008,14/5/2008,ssRNA(-)
EU851980.1,Influenza A virus (A/Hawaii/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706605,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",1/1/2008,2/7/2008,ssRNA(-)
EU851982.1,Influenza A virus (A/Hawaii/02/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008706642,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",17/1/2008,2/7/2008,ssRNA(-)
EU851984.1,Influenza A virus (A/Mississippi/06/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008708299,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",24/1/2008,2/7/2008,ssRNA(-)
EU851986.1,Influenza A virus (A/Minnesota/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008740039,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",15/1/2008,2/7/2008,ssRNA(-)
EU851988.1,Influenza A virus (A/New York/05/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008740503,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",5/2/2008,2/7/2008,ssRNA(-)
EU851989.1,Influenza A virus (A/Tennessee/03/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008741758,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",14/3/2008,2/7/2008,ssRNA(-)
EU851991.1,Influenza A virus (A/Vermont/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008742270,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",18/2/2008,2/7/2008,ssRNA(-)
EU851992.1,Influenza A virus (A/Ohio/02/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,2008742290,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",13/3/2008,2/7/2008,ssRNA(-)
EU887028.1,Influenza A virus (A/Florida/06/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",11/1/2008,21/7/2008,ssRNA(-)
EU887033.1,Influenza A virus (A/New Jersey/13/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",18/2/2008,21/7/2008,ssRNA(-)
EU887035.1,Influenza A virus (A/South Carolina/01/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1413,partial,USA,USA,Homo sapiens,,"Garten,R., Barnes,J., Myrick,A., Smith,C., Xu,X., Klimov,A.",28/3/2008,21/7/2008,ssRNA(-)
EU551810.1,Influenza A virus (A/Paris/910/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,France: Paris,France,Homo sapiens,,"Rameix-Welti,M.A., Enouf,V., Cuvelier,F., Jeannin,P., van der Werf,S., Van Der Werf,S.",5/1/2008,25/7/2008,ssRNA(-)
EU551812.1,Influenza A virus (A/Paris/1154/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,France: Paris,France,Homo sapiens,,"Rameix-Welti,M.A., Enouf,V., Cuvelier,F., Jeannin,P., van der Werf,S., Van Der Werf,S.",15/1/2008,25/7/2008,ssRNA(-)
EU551813.1,Influenza A virus (A/Paris/1208/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,France: Paris,France,Homo sapiens,,"Rameix-Welti,M.A., Enouf,V., Cuvelier,F., Jeannin,P., van der Werf,S., Van Der Werf,S.",15/1/2008,25/7/2008,ssRNA(-)
EU551814.1,Influenza A virus (A/Paris/1157/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,France: Paris,France,Homo sapiens,,"Rameix-Welti,M.A., Enouf,V., Cuvelier,F., Jeannin,P., van der Werf,S., Van Der Werf,S.",15/1/2008,25/7/2008,ssRNA(-)
EU551821.1,Influenza A virus (A/Paris/963/2008(H1N1)),Alphainfluenzavirus influenzae,H1N1,,1410,partial,France: Paris,France,Homo sapiens,,"Rameix-Welti,M.A., Enouf,V., Cuvelier,F., Jeannin,P., van der Werf,S., Van Der Werf,S.",4/1/2008,25/7/2008,ssRNA(-)
